name,x,y,university_name,professor_name,overall_impact
Akira Hirose,0.16053171455860138,-0.020284762606024742,University of Tokyo,Akira Hirose,5.934227560909611
Madoka Takai,0.1621762216091156,-0.020570488646626472,University of Tokyo,Madoka Takai,53.995829156532416
Satoru Nagatoishi,0.15979377925395966,-0.02007654681801796,University of Tokyo,Satoru Nagatoishi,81.43716922531836
Masaki Sekino,0.16422267258167267,-0.020853297784924507,University of Tokyo,Masaki Sekino,56.32822806655346
Horacio Cabral,0.1671503335237503,-0.02093273028731346,University of Tokyo,Horacio Cabral,184.4130629860581
Hiroaki Matsui,0.15927688777446747,-0.02005336806178093,University of Tokyo,Hiroaki Matsui,14.20096634799357
Kouhei Tsumoto,0.1593666970729828,-0.02000110223889351,University of Tokyo,Kouhei Tsumoto,146.88143898604224
Masatoshi Yamazaki,0.16186368465423584,-0.02039504051208496,University of Tokyo,Masatoshi Yamazaki,14.820802304136642
Toshihiro Kasama,0.1598287969827652,-0.02012990228831768,University of Tokyo,Toshihiro Kasama,5.554864932754691
Fumihito Arai,0.1625341922044754,-0.020646551623940468,University of Tokyo,Fumihito Arai,43.76984111326898
Takamasa Sakai,0.16360358893871307,-0.020445566624403,University of Tokyo,Takamasa Sakai,53.35749395309857
Hirohide Saito,0.16864152252674103,-0.02116936258971691,University of Tokyo,Hirohide Saito,33.1857252271235
Kenji Shimazoe,0.16846399009227753,-0.021170105785131454,University of Tokyo,Kenji Shimazoe,3.710486126082723
Kanako Harada,0.16878150403499603,-0.02192055992782116,University of Tokyo,Kanako Harada,8.636070042454607
Shu Takagi,0.16332337260246277,-0.020697567611932755,University of Tokyo,Shu Takagi,10.907356914588831
Etsuko Kobayashi,0.16053791344165802,-0.020240433514118195,University of Tokyo,Etsuko Kobayashi,25.57935588000481
Hiroyasu Yamahara,0.1601467877626419,-0.020162975415587425,University of Tokyo,Hiroyasu Yamahara,5.857657267642553
Takanori Ichiki,0.16226346790790558,-0.02047610469162464,University of Tokyo,Takanori Ichiki,15.049733862471976
